Column1.1,Column1.2
dynaplot,
LS-DYNA keyword deck by,LS-PrePost
X-displacement,
Resultant,Force
Mat/Node,Ids
         1     ,1000
     ,7373
* Minval=     6.7795999348e-04 at time=        ,0.0000000000
* Maxval=     2.3943780518e+02 at time=        ,0.0000000000
    0.0000000000e+00   ,6.7795999348e-04
    2.0020075142e-02   ,2.6740327012e-03
    4.0040150285e-02   ,4.6701054089e-03
    6.0060221702e-02   ,6.6661783494e-03
    8.0080300570e-02   ,8.6622508243e-03
    1.0010036826e-01   ,1.0658323765e-02
    1.2012045085e-01   ,1.2654396705e-02
    1.4014053345e-01   ,1.4650468715e-02
    1.6016060114e-01   ,1.6646541655e-02
    1.8018065393e-01   ,1.8642615527e-02
    2.0020072162e-01   ,2.0638689399e-02
    2.2022080421e-01   ,2.2634763271e-02
    2.4024087191e-01   ,2.4630837142e-02
    2.6026093960e-01   ,2.6626911014e-02
    2.8028103709e-01   ,2.8622983024e-02
    3.0030107498e-01   ,3.0619056895e-02
    3.2032117248e-01   ,3.2615132630e-02
    3.4034124017e-01   ,3.4611202776e-02
    3.6036127806e-01   ,3.6607280374e-02
    3.8038137555e-01   ,3.8603350520e-02
    4.0040141344e-01   ,4.0599428117e-02
    4.2042151093e-01   ,4.2595498264e-02
    4.4044157863e-01   ,4.4591575861e-02
    4.6046164632e-01   ,4.6587646008e-02
    4.8048171401e-01   ,4.8583723605e-02
    5.0050175190e-01   ,5.0577387214e-02
    5.2052181959e-01   ,5.2482411265e-02
    5.4054194689e-01   ,5.4387431592e-02
    5.6056201458e-01   ,5.6292455643e-02
    5.8058208227e-01   ,5.8197479695e-02
    6.0060209036e-01   ,6.0102500021e-02
    6.2062215805e-01   ,6.2007524073e-02
    6.4064228535e-01   ,6.3912548125e-02
    6.6066235304e-01   ,6.5817572176e-02
    6.8068242073e-01   ,6.7722596228e-02
    7.0070242882e-01   ,6.9627612829e-02
    7.2072249651e-01   ,7.1532636881e-02
    7.4074262381e-01   ,7.3437660933e-02
    7.6076269150e-01   ,7.5342684984e-02
    7.8078275919e-01   ,7.7247709036e-02
    8.0080276728e-01   ,7.9152733088e-02
    8.2082289457e-01   ,8.1057757139e-02
    8.4084296227e-01   ,8.2962781191e-02
    8.6086302996e-01   ,8.4867797792e-02
    8.8088309765e-01   ,8.6772821844e-02
    9.0090316534e-01   ,8.8677845895e-02
    9.2092323303e-01   ,9.0582869947e-02
    9.4094330072e-01   ,9.2487893999e-02
    9.6096336842e-01   ,9.4392910600e-02
    9.8098343611e-01   ,9.6297934651e-02
    1.0010035038e+00   ,9.8201535642e-02
    1.0210236311e+00   ,1.0007875413e-01
    1.0410437584e+00   ,1.0195598006e-01
    1.0610640049e+00   ,1.0383320600e-01
    1.0810841322e+00   ,1.0571042448e-01
    1.1011042595e+00   ,1.0758765042e-01
    1.1211243868e+00   ,1.0946486890e-01
    1.1411445141e+00   ,1.1134209484e-01
    1.1611646414e+00   ,1.1321931332e-01
    1.1811846495e+00   ,1.1509653926e-01
    1.2012047768e+00   ,1.1697375774e-01
    1.2212249041e+00   ,1.1885098368e-01
    1.2412450314e+00   ,1.2072820961e-01
    1.2612652779e+00   ,1.2260542810e-01
    1.2812854052e+00   ,1.2448264658e-01
    1.3013055325e+00   ,1.2635987997e-01
    1.3213256598e+00   ,1.2823709846e-01
    1.3413457870e+00   ,1.3011431694e-01
    1.3613659143e+00   ,1.3199153543e-01
    1.3813860416e+00   ,1.3386875391e-01
    1.4014060497e+00   ,1.3574598730e-01
    1.4214261770e+00   ,1.3762320578e-01
    1.4414463043e+00   ,1.3950042427e-01
    1.4614665508e+00   ,1.4137765765e-01
    1.4814866781e+00   ,1.4325487614e-01
    1.5015068054e+00   ,1.4513340592e-01
    1.5215269327e+00   ,1.4702761173e-01
    1.5415470600e+00   ,1.4892181754e-01
    1.5615671873e+00   ,1.5081600845e-01
    1.5815873146e+00   ,1.5271021426e-01
    1.6016073227e+00   ,1.5460442007e-01
    1.6216274500e+00   ,1.5649862587e-01
    1.6416476965e+00   ,1.5839283168e-01
    1.6616678238e+00   ,1.6028702259e-01
    1.6816879511e+00   ,1.6218122840e-01
    1.7017080784e+00   ,1.6407543421e-01
    1.7217282057e+00   ,1.6596964002e-01
    1.7417483330e+00   ,1.6786384583e-01
    1.7617684603e+00   ,1.6975803673e-01
    1.7817885876e+00   ,1.7165224254e-01
    1.8018087149e+00   ,1.7354644835e-01
    1.8218287230e+00   ,1.7544065416e-01
    1.8418489695e+00   ,1.7733484507e-01
    1.8618690968e+00   ,1.7922905087e-01
    1.8818892241e+00   ,1.8112325668e-01
    1.9019093513e+00   ,1.8301746249e-01
    1.9219294786e+00   ,1.8491166830e-01
    1.9419496059e+00   ,1.8680587411e-01
    1.9619697332e+00   ,1.8870006502e-01
    1.9819898605e+00   ,1.9059427083e-01
    2.0020098686e+00   ,1.9248139858e-01
    2.0220298767e+00   ,1.9430661201e-01
    2.0420498848e+00   ,1.9613182545e-01
    2.0620698929e+00   ,1.9795703888e-01
    2.0820899010e+00   ,1.9978225231e-01
    2.1021099091e+00   ,2.0160748065e-01
    2.1221299171e+00   ,2.0343269408e-01
    2.1421499252e+00   ,2.0525790751e-01
    2.1621699333e+00   ,2.0708312094e-01
    2.1821899414e+00   ,2.0890833437e-01
    2.2022099495e+00   ,2.1073354781e-01
    2.2222299576e+00   ,2.1255876124e-01
    2.2422499657e+00   ,2.1438398957e-01
    2.2622699738e+00   ,2.1620920300e-01
    2.2822899818e+00   ,2.1803441644e-01
    2.3023099899e+00   ,2.1985962987e-01
    2.3223299980e+00   ,2.2168484330e-01
    2.3423500061e+00   ,2.2351005673e-01
    2.3623700142e+00   ,2.2533527017e-01
    2.3823900223e+00   ,2.2716048360e-01
    2.4024100304e+00   ,2.2898571193e-01
    2.4224300385e+00   ,2.3081092536e-01
    2.4424500465e+00   ,2.3263613880e-01
    2.4624700546e+00   ,2.3446135223e-01
    2.4824900627e+00   ,2.3628656566e-01
    2.5025100708e+00   ,2.3810702562e-01
    2.5225300789e+00   ,2.3989436030e-01
    2.5425500870e+00   ,2.4168169498e-01
    2.5625700951e+00   ,2.4346901476e-01
    2.5825901031e+00   ,2.4525634944e-01
    2.6026101112e+00   ,2.4704368412e-01
    2.6226301193e+00   ,2.4883101881e-01
    2.6426501274e+00   ,2.5061833858e-01
    2.6626701355e+00   ,2.5240567327e-01
    2.6826901436e+00   ,2.5419300795e-01
    2.7027101517e+00   ,2.5598034263e-01
    2.7227301598e+00   ,2.5776767731e-01
    2.7427501678e+00   ,2.5955501199e-01
    2.7627701759e+00   ,2.6134234667e-01
    2.7827901840e+00   ,2.6312965155e-01
    2.8028101921e+00   ,2.6491698623e-01
    2.8228302002e+00   ,2.6670432091e-01
    2.8428502083e+00   ,2.6849165559e-01
    2.8628702164e+00   ,2.7027899027e-01
    2.8828902245e+00   ,2.7206632495e-01
    2.9029102325e+00   ,2.7385365963e-01
    2.9229302406e+00   ,2.7564096451e-01
    2.9429502487e+00   ,2.7742829919e-01
    2.9629702568e+00   ,2.7921563387e-01
    2.9829902649e+00   ,2.8100296855e-01
    3.0030102730e+00   ,2.8278028965e-01
    3.0230302811e+00   ,2.8450199962e-01
    3.0430502892e+00   ,2.8622373939e-01
    3.0630702972e+00   ,2.8794544935e-01
    3.0830903053e+00   ,2.8966715932e-01
    3.1031103134e+00   ,2.9138886929e-01
    3.1231303215e+00   ,2.9311057925e-01
    3.1431503296e+00   ,2.9483231902e-01
    3.1631703377e+00   ,2.9655402899e-01
    3.1831903458e+00   ,2.9827573895e-01
    3.2032103539e+00   ,2.9999744892e-01
    3.2232303619e+00   ,3.0171915889e-01
    3.2432503700e+00   ,3.0344086885e-01
    3.2632703781e+00   ,3.0516260862e-01
    3.2832903862e+00   ,3.0688431859e-01
    3.3033103943e+00   ,3.0860602856e-01
    3.3233304024e+00   ,3.1032773852e-01
    3.3433504105e+00   ,3.1204944849e-01
    3.3633704185e+00   ,3.1377118826e-01
    3.3833904266e+00   ,3.1549289823e-01
    3.4034104347e+00   ,3.1721460819e-01
    3.4234304428e+00   ,3.1893631816e-01
    3.4434504509e+00   ,3.2065802813e-01
    3.4634704590e+00   ,3.2237976789e-01
    3.4834904671e+00   ,3.2410147786e-01
    3.5035104752e+00   ,3.2582446933e-01
    3.5235304832e+00   ,3.2755357027e-01
    3.5435504913e+00   ,3.2928264141e-01
    3.5635704994e+00   ,3.3101171255e-01
    3.5835905075e+00   ,3.3274078369e-01
    3.6036105156e+00   ,3.3446985483e-01
    3.6236305237e+00   ,3.3619892597e-01
    3.6436505318e+00   ,3.3792802691e-01
    3.6636705399e+00   ,3.3965709805e-01
    3.6836905479e+00   ,3.4138616920e-01
    3.7037105560e+00   ,3.4311524034e-01
    3.7237305641e+00   ,3.4484431148e-01
    3.7437505722e+00   ,3.4657341242e-01
    3.7637705803e+00   ,3.4830248356e-01
    3.7837905884e+00   ,3.5003155470e-01
    3.8038105965e+00   ,3.5176062584e-01
    3.8238306046e+00   ,3.5348969698e-01
    3.8438506126e+00   ,3.5521876812e-01
    3.8638706207e+00   ,3.5694786906e-01
    3.8838906288e+00   ,3.5867694020e-01
    3.9039106369e+00   ,3.6040601134e-01
    3.9239306450e+00   ,3.6213508248e-01
    3.9439506531e+00   ,3.6386415362e-01
    3.9639706612e+00   ,3.6559325457e-01
    3.9839906693e+00   ,3.6732232571e-01
    4.0040106773e+00   ,3.6904421449e-01
